title,news-source,date_YMD,timestamp,date,teaser,tags,article-url,image-url,,
"Philadelphia, Portland and Code For America work on building a better RFP",TechPresident,2014-9-4,16317,"Sep 4, 2014",While Healthcare.gov is now often used as short-hand for government procurement challenges and questions are being raised about New York City's,Open Data,http://techpresident.com/news/25254/philadelphia-portland-and-code-america-work-building-better-rfp,http://ib5k.com/system/images/W1siZiIsIjIwMTQvMDcvMTgvNmJodTRvczE4X1RlY2hQcmVzaWRlbnQucG5nIl0sWyJwIiwidGh1bWIiLCIzNTV4MjA3I2MiXV0/TechPresident.png,,
How the U.S. Digital Service could upset D.C.'s 'IT vendor ecosystem',The Washington Post,2014-8-25,16307,"Aug 25, 2014","Jennifer Pahlka was in London when Todd Park, the chief technology officer of the United States, called to ask her if she'd become his deputy",Citizen Centered Design,https://www.washingtonpost.com/blogs/the-switch/wp/2014/08/25/how-the-u-s-digital-service-could-upset-d-c-s-it-vendor-ecosystem/,https://img.washingtonpost.com/wp-apps/imrs.php?src=https://img.washingtonpost.com/blogs/the-switch/files/2014/08/8179308623_2461f7caa1_k-1.jpg&w=1484,,
11 Creative Ways to Volunteer,Reader's Digest,,#NUM!,,"Code for America: Dubbed the Peace Corps for Geeks, this group seeks techies who want to volunteer to help local communities.","Open Data,Data Driven Decision Making",http://www.rd.com/advice/work-career/creative-ways-to-volunteer/,https://upload.wikimedia.org/wikipedia/commons/2/26/Reader's-Digest-Logo.svg,,
What to Expect from Code for America in 2014,StateTech Magazine,,#NUM!,,"Code for America’s impact on local government has been nothing short of revolutionary. Also know as the “Peace Corps for geeks,""","Data Driven Decision Making,Citizen Centered Design",http://www.statetechmagazine.com/article/2014/02/what-expect-code-america-2014,https://pbs.twimg.com/profile_images/482302004576800768/9iqrs_BF_400x400.png,,
The Weird Stuff That Happens When You Sign Up for Food Stamps,Atlantic Cities Technology,2014-1-15,16085,"Jan 15, 2014","It's a cliché of course, but no doubt some of the worst experiences with government bureaucracy really do start and end at the DMV.",Food Stamps,http://www.theatlanticcities.com/technology/2014/01/what-really-happens-when-you-sign-food-stamps/8094/,http://cdn.citylab.com/media/img/citylab/2014/01/14/10250389986_8dda997b40_z/lead_large.jpg?1399929210,,
Debug.gov,San Francisco Magazine,2013-12-5,16044,"Dec 5, 2013","Code for America's Jennifer Pahlka has argued for years that tech can help solve civic problems—and now, the White House is listening.","Jennifer Pahlka,Procurement,Citizen Centered Design",http://www.modernluxury.com/san-francisco/story/debuggov,http://www.modernluxury.com/sites/default/files/imagecache/story-photo-with-inset-main/pahlka_2013_10_18_pahlka_001_2.jpg,,
Food Stamp App Helps Residents Keep Benefits,SF Gate,2013-12-2,16041,"Dec 2, 2013","Nealie Yarbrough, a 51-year-old single mother, knows the sting of being at the grocery store checkout and having her debit card denied.",Food Stamps,http://www.sfgate.com/bayarea/article/Food-stamp-app-helps-residents-keep-benefits-5029025.php,http://ww1.hdnux.com/photos/25/10/45/5540188/3/1024x1024.jpg,,
7 Tactics for 21st-Century Cities,Government Technology,10/21/2013,15999,"Oct 21, 2013","Be it the burden placed on them by shrinking federal support, or the opportunity presented by modern technology, 21st-century cities are finding new ways to do things.",Innovation,http://www.govtech.com/data/7-Tactics-for-21st-Century-Cities.html,http://media2.govtech.com/images/770*1000/Abhi-Nemani.jpg,,
Brigades Help Communities Build Better Websites,SF Gate,18/10/13,15996,"Oct 18, 2013","Outside of San Francisco, government officials are often suspicious when groups of unknown programmers with paramilitary titles set out to “hack” them.",Brigades,http://www.sfgate.com/technology/article/Brigades-helps-communities-build-better-websites-4908253.php#photo-5338724,http://ww4.hdnux.com/photos/24/27/31/5338727/3/1024x1024.jpg,,
Code for America Works to Build Innovation Ecosystem,Government Technology,18/10/13,15996,"Oct 18, 2013","The nonprofit’s fellowships may only last a year, but the goal is to build a sustainable community of civic innovators.",tag,http://www.govtech.com/data/Code-for-America-Innovation-Ecosystem.html,,,NEEDS IMAGE
