"First Name (required)","Last Name (required)","Title","Company","Description","Image URL","Website","Twitter Handle","Facebook URL","LinkedIn URL","Session IDs","Attendee ID","Speaker ID"
"Jennifer","Pahlka","Executive Director","Code for America","","http://codeforamerica.org/media/images/people/jennifer-pahlka.jpg","","","","","session_102,session_108,session_138","","jennifer-pahlka"
"Libby","Schaaf","Mayor","City of Oakland, CA","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/libby-schaaf.jpg","","","","","session_103","","libby-schaaf"
"Jacob","Solomon","Health Product Manager","Code for America","","http://codeforamerica.org/media/images/people/jacob-solomon.jpg","","","","","session_104,session_117,session_118","","jacob-solomon"
"Harlan","Weber","Captain","Code for Boston","","http://codeforamerica.org/media/images/people/harlan-weber.jpg","","","","","session_104","","harlan-weber"
"Karen","Boyd","Director of Communications","City of Oakland, CA","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/karen-boyd.jpg","","","","","session_104","","karen-boyd"
"Jonathan","Feldman","Chief Information Officer","City of Asheville","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/jonathan-feldman.jpg","","","","","session_106","","jonathan-feldman"
"Amen","Ra Mashariki","Chief Analytics Officer","City of New York","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/amen-ra-mashariki.jpg","","","","","session_106","","amen-ra-mashariki"
"Jack","Madans","Product Growth","Code for America","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/jack-madans.jpg","","","","","session_106,breakout_117","","jack-madans"
"Cyd","Harrell","Senior Director of Product","Code for America","","http://codeforamerica.org/media/images/people/cyd-harrell.jpg","","","","","session_106","","cyd-harrell"
"Alex","Soble","2015 Somerville Fellow","Code for America","","http://codeforamerica.org/media/images/people/alex-soble.jpg","","","","","session_106","","alex-soble"
"Uri","Harel","Elementary Curriculum Coordinator","Somerville Public Schools","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/uri-harel.jpg","","","","","session_106","","uri-harel"
"Susan","Shaheen","Professor and Director of Innovative Mobility Research","UC Berkeley","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/susan-shaheen.jpg","","","","","session_107","","susan-shaheen"
"Emily","Castor","Director of Transportation Policy","Lyft","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/emily-castor.jpg","","","","","session_107","","emily-castor"
"Jascha","Franklin-Hodge","Chief Information Officer","City of Boston, MA","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/jascha-franklin-hodge.jpg","","","","","session_107","","jascha-franklin-hodge"
"Gabe","Klein","Special Venture Partner","Fontinalis Partners","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/gabe-klein.jpg","","","","","session_107,session_110","","gabe-klein"
"William","Lightbourne","Director","California Department of Social Services","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/william-lightbourne.jpg","","","","","session_117","","william-lightbourne"
"Peter","Levin","Founder and CEO","Amida Technology Solutions","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/peter-levin.jpg","","","","","session_118","","peter-levin"
"Stacy","Lindau","Associate Professor","The University of Chicago and Founder, NowPow, LLC","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/stacy-lindau.jpg","","","","","session_118,breakout_155","","stacy-lindau"
"Emma","Smithayer","2015 Richmond Fellow","Code for America","","http://codeforamerica.org/media/images/people/emma-smithayer.jpg","","","","","session_118","","emma-smithayer"
"Danny","Avula","Deputy Director","Richmond City Health Department","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/danny-avula.jpg","","","","","session_118,breakout_155","","danny-avula"
"Maksim","Pecherskiy","Chief Data Officer","City of San Diego, CA","","http://codeforamerica.org/media/images/people/maksim-pecherskiy.jpg","","","","","session_119","","maksim-pecherskiy"
"Almis","Udrys","Director of Performance & Analytics","City of San Diego, CA","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/almis-udrys.jpg","","","","","session_119","","almis-udrys"
"Ariel","Kennan","Director of Innovation and Design","New York City Mayor's Office of Operations","","http://codeforamerica.org/media/images/people/ariel-kennan.jpg","","","","","session_119","","ariel-kennan"
"Daro","Mott","Director of Quality & Performance","Louisville Metro Government","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/daro-mott.jpg","","","","","session_119,breakout_119,breakout_146","","daro-mott"
"Hillary","Hartley","Deputy Executive Director","18F","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/hillary-hartley.jpg","","","","","session_119,breakout_147","","hillary-hartley"
"Maggie","King","Program Director","Computational Analysis and Public Policy, University of Chicago Harris School of Public Policy","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/maggie-king.jpg","","","","","session_119","","maggie-king"
"Tim","O'Reilly","Founder","O'Reilly Media and Next:Economy: What's the Future of Work","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/tim-oreilly.jpg","","","","","session_121","","tim-oreilly"
"Brian","Chesky","Co-founder and CEO","Airbnb","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/brian-chesky.jpg","","","","","session_121","","brian-chesky"
"Jenny","Montoya-Tansey","Director of Safety and Justice","Code for America","","http://codeforamerica.org/media/images/people/jenny-montoya-tansey.jpg","","","","","session_122,breakout_152","","jenny-montoya-tansey"
"Tiffany","Andrews","2015 Indianapolis Fellow","Code for America","","http://codeforamerica.org/media/images/people/tiffany-andrews.jpg","","","","","session_122","","tiffany-andrews"
"Laura","Ellena","2015 Indianapolis Fellow","Code for America","","http://codeforamerica.org/media/images/people/laura-ellena.jpg","","","","","session_122","","laura-ellena"
"Jen","Pittman","Director of Communication/Deputy Chief for Mayor Ballard","City of Indianapolis","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/jen-pittman.jpg","","","","","session_122","","jen-pittman"
"Brenton","Garrick","Community Engagement Sergeant","Vallejo Police Department","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/brenton-garrick.jpg","","","","","session_122","","brenton-garrick"
"Jazmyn","Latimer","2015 Vallejo Fellow","Code for America","","http://codeforamerica.org/media/images/people/jazmyn-latimer.jpg","","","","","session_122","","jazmyn-latimer"
"Gary","Wilson","Division Chief","City of Denver","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/gary-wilson.jpg","","","","","session_123","","gary-wilson"
"Lenore","Anderson","Executive Director","Californians for Safety and Justice","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/lenore-anderson.jpg","","","","","session_123","","lenore-anderson"
"Lynn","Overmann ","Senior Policy Advisor to the US Chief Technology Officer","White House Office of Science and Technology Policy","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/lynn-overmann.jpg","","","","","session_123","","lynn-overmann"
"Paul","Figueroa","‎Assistant Chief","City of Oakland","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/paul-figueroa.jpg","","","","","session_123","","paul-figueroa"
